experiment,id,timestamp,activities,gt_context
casas,csh101,1343002770.0,Sleep,Sleeping
casas,csh101,1343003365.0,Sleep,Sleeping
casas,csh101,1343003956.0,Sleep,Sleeping
casas,csh101,1343004060.0,Sleep,Sleeping
casas,csh101,1343004112.0,Sleep,Sleeping
casas,csh101,1343004164.0,Sleep,Sleeping
casas,csh101,1343004216.0,Sleep,Sleeping
casas,csh101,1343004320.0,Sleep,Sleeping
casas,csh101,1343004476.0,Sleep,Sleeping
casas,csh101,1343005150.0,Sleep,Sleeping
casas,csh101,1343006327.0,Sleep,Sleeping
casas,csh101,1343006328.0,Sleep,Sleeping
casas,csh101,1343006503.0,Sleep,Sleeping
casas,csh101,1343006504.0,Sleep,Sleeping
casas,csh101,1343011135.0,Sleep,Sleeping
casas,csh101,1343011136.0,Sleep,Sleeping
casas,csh101,1343011180.0,Sleep,Sleeping
casas,csh101,1343011181.0,Sleep,Sleeping
casas,csh101,1343011182.0,Sleep,Sleeping
casas,csh101,1343011183.0,Sleep,Sleeping
casas,csh101,1343011193.0,Sleep,Sleeping
casas,csh101,1343011194.0,Sleep,Sleeping
casas,csh101,1343011195.0,Sleep,Sleeping
casas,csh101,1343011198.0,Sleep,Sleeping
casas,csh101,1343011199.0,Sleep,Sleeping
casas,csh101,1343011200.0,Sleep,Sleeping
casas,csh101,1343011211.0,Sleep,Sleeping
casas,csh101,1343011212.0,Sleep,Sleeping
casas,csh101,1343011213.0,Sleep,Sleeping
casas,csh101,1343011215.0,Sleep,Sleeping
casas,csh101,1343011217.0,Sleep,Sleeping
casas,csh101,1343011220.0,Sleep,Sleeping
casas,csh101,1343011222.0,Sleep,Sleeping
casas,csh101,1343011224.0,Sleep,Sleeping
casas,csh101,1343011225.0,Sleep,Sleeping
casas,csh101,1343011226.0,Sleep,Sleeping
casas,csh101,1343011234.0,Sleep,Sleeping
casas,csh101,1343011236.0,Sleep,Sleeping
casas,csh101,1343011238.0,Sleep,Sleeping
casas,csh101,1343011239.0,Sleep,Sleeping
casas,csh101,1343011241.0,Sleep,Sleeping
casas,csh101,1343011247.0,Sleep,Sleeping
casas,csh101,1343011249.0,Sleep,Sleeping
casas,csh101,1343011250.0,Sleep,Sleeping
casas,csh101,1343011251.0,Sleep,Sleeping
casas,csh101,1343011252.0,Sleep,Sleeping
casas,csh101,1343011255.0,Sleep,Sleeping
casas,csh101,1343011256.0,Sleep,Sleeping
casas,csh101,1343011257.0,Sleep,Sleeping
casas,csh101,1343011258.0,Sleep,Sleeping
casas,csh101,1343011276.0,Sleep,Sleeping
casas,csh101,1343011277.0,Sleep,Sleeping
casas,csh101,1343011286.0,Sleep,Sleeping
casas,csh101,1343011287.0,Sleep,Sleeping
casas,csh101,1343011292.0,Sleep,Sleeping
casas,csh101,1343011295.0,Sleep,Sleeping
casas,csh101,1343011299.0,Sleep,Sleeping
casas,csh101,1343011300.0,Sleep,Sleeping
casas,csh101,1343011318.0,Sleep,Sleeping
casas,csh101,1343011319.0,Sleep,Sleeping
casas,csh101,1343011328.0,Sleep,Sleeping
casas,csh101,1343011331.0,Sleep,Sleeping
casas,csh101,1343011336.0,Sleep,Sleeping
casas,csh101,1343011338.0,Sleep,Sleeping
casas,csh101,1343011338.0,Other_Activity,Sleeping
casas,csh101,1343011339.0,Other_Activity,Sleeping
casas,csh101,1343011341.0,Other_Activity,Sleeping
casas,csh101,1343011344.0,Other_Activity,Sleeping
casas,csh101,1343011348.0,Bed_Toilet_Transition,Sleeping
casas,csh101,1343011348.0,Other_Activity,Sleeping
casas,csh101,1343011350.0,Other_Activity,Sleeping
casas,csh101,1343011354.0,Bed_Toilet_Transition,Sleeping
casas,csh101,1343011355.0,Bed_Toilet_Transition,Sleeping
casas,csh101,1343011359.0,Bed_Toilet_Transition,Sleeping
casas,csh101,1343011362.0,Bed_Toilet_Transition,Sleeping
casas,csh101,1343011368.0,Bed_Toilet_Transition,Sleeping
casas,csh101,1343011374.0,Bed_Toilet_Transition,Sleeping
casas,csh101,1343011460.0,Bed_Toilet_Transition,Sleeping
casas,csh101,1343011461.0,Bed_Toilet_Transition,Sleeping
casas,csh101,1343011464.0,Bed_Toilet_Transition,Sleeping
casas,csh101,1343011466.0,Bed_Toilet_Transition,Sleeping
casas,csh101,1343011478.0,Bed_Toilet_Transition,Sleeping
casas,csh101,1343011488.0,Bed_Toilet_Transition,Sleeping
casas,csh101,1343011489.0,Bed_Toilet_Transition,Sleeping
casas,csh101,1343011490.0,Bed_Toilet_Transition,Sleeping
casas,csh101,1343011491.0,Bed_Toilet_Transition,Sleeping
casas,csh101,1343011509.0,Bed_Toilet_Transition,Sleeping
casas,csh101,1343011510.0,Bed_Toilet_Transition,Sleeping
casas,csh101,1343011521.0,Bed_Toilet_Transition,Sleeping
casas,csh101,1343011523.0,Bed_Toilet_Transition,Sleeping
casas,csh101,1343011526.0,Bed_Toilet_Transition,Sleeping
casas,csh101,1343011528.0,Bed_Toilet_Transition,Sleeping
casas,csh101,1343011531.0,Bed_Toilet_Transition,Sleeping
casas,csh101,1343011533.0,Bed_Toilet_Transition,Sleeping
casas,csh101,1343011534.0,Bed_Toilet_Transition,Sleeping
casas,csh101,1343011535.0,Bed_Toilet_Transition,Sleeping
casas,csh101,1343011537.0,Bed_Toilet_Transition,Sleeping
casas,csh101,1343011541.0,Other_Activity,Sleeping
casas,csh101,1343011542.0,Bed_Toilet_Transition,Sleeping
casas,csh101,1343011545.0,Other_Activity,Sleeping
casas,csh101,1343011547.0,Other_Activity,Sleeping
casas,csh101,1343011547.0,Other_Activity,Sleeping
casas,csh101,1343011548.0,Other_Activity,Sleeping
casas,csh101,1343011551.0,Other_Activity,Sleeping
casas,csh101,1343011552.0,Other_Activity,Sleeping
casas,csh101,1343011555.0,Other_Activity,Sleeping
casas,csh101,1343011559.0,Other_Activity,Sleeping
casas,csh101,1343011563.0,Other_Activity,Sleeping
casas,csh101,1343011563.0,Other_Activity,Sleeping
casas,csh101,1343011564.0,Other_Activity,Sleeping
casas,csh101,1343011565.0,Other_Activity,Sleeping
casas,csh101,1343011568.0,Other_Activity,Sleeping
casas,csh101,1343011572.0,Other_Activity,Sleeping
casas,csh101,1343011578.0,Other_Activity,Sleeping
casas,csh101,1343011579.0,Other_Activity,Sleeping
casas,csh101,1343011579.0,Go_To_Sleep,Sleeping
casas,csh101,1343011581.0,Go_To_Sleep,Sleeping
casas,csh101,1343011581.0,Go_To_Sleep,Sleeping
casas,csh101,1343011581.0,Go_To_Sleep,Sleeping
casas,csh101,1343011581.0,Go_To_Sleep,Sleeping
casas,csh101,1343011582.0,Go_To_Sleep,Sleeping
casas,csh101,1343011586.0,Go_To_Sleep,Sleeping
casas,csh101,1343011587.0,Sleep,Sleeping
casas,csh101,1343011591.0,Sleep,Sleeping
casas,csh101,1343011592.0,Sleep,Sleeping
casas,csh101,1343011594.0,Sleep,Sleeping
casas,csh101,1343011604.0,Sleep,Sleeping
casas,csh101,1343011609.0,Sleep,Sleeping
casas,csh101,1343011609.0,Sleep,Sleeping
casas,csh101,1343011613.0,Sleep,Sleeping
casas,csh101,1343011614.0,Sleep,Sleeping
casas,csh101,1343011615.0,Sleep,Sleeping
casas,csh101,1343011616.0,Sleep,Sleeping
casas,csh101,1343011621.0,Sleep,Sleeping
casas,csh101,1343011622.0,Sleep,Sleeping
casas,csh101,1343011625.0,Sleep,Sleeping
casas,csh101,1343011626.0,Sleep,Sleeping
casas,csh101,1343011627.0,Sleep,Sleeping
casas,csh101,1343011630.0,Sleep,Sleeping
casas,csh101,1343011631.0,Sleep,Sleeping
casas,csh101,1343011632.0,Sleep,Sleeping
casas,csh101,1343011633.0,Sleep,Sleeping
casas,csh101,1343011635.0,Sleep,Sleeping
