label_source,Context,Onto-Precision,Onto-Recall,Temporal-Precision,Temporal-Recall,Combined-Precision,Combined-Recall
GT,ComingIn,100.0,67.26875000000001,87.20125,99.68,87.20125,99.68
GT,Exercising,100.0,93.25625,86.255,99.42125,86.255,99.42125
GT,HavingMeal,98.21375,69.3375,72.33999999999999,85.35125,72.33999999999999,85.35125
GT,HouseWork,100.0,73.94624999999999,55.0625,86.445,58.61874999999999,98.7125
GT,InAMeeting,0.0,0.0,0.0,0.0,0.0,0.0
GT,MealPreparation,0.0,0.0,0.0,0.0,0.0,0.0
GT,OfficeWork,100.0,68.35,84.69874999999999,79.345,84.77499999999999,79.90625
GT,PhoneCall,54.216249999999995,31.847500000000004,76.58000000000001,56.475,56.0275,56.7175
GT,PreparingMeal,0.0,0.0,0.0,0.0,0.0,0.0
GT,Relaxing,100.0,52.86,46.02625,92.86875,46.02625,92.86875
Mites,ComingIn,20.692500000000003,44.81875,13.112499999999999,71.60249999999999,15.235,82.0475
Mites,Exercising,38.125,26.779999999999998,29.821250000000003,35.18125,32.775,43.74875
Mites,HavingMeal,19.36375,13.742500000000001,14.061250000000001,23.77375,13.85375,23.77375
Mites,HouseWork,21.477499999999996,3.3125,26.5875,2.78125,23.6925,5.55
Mites,InAMeeting,0.0,0.0,0.0,0.0,0.0,0.0
Mites,MealPreparation,0.0,0.0,0.0,0.0,0.0,0.0
Mites,OfficeWork,55.955,21.57375,52.412499999999994,52.41125000000001,53.05,54.21250000000001
Mites,PhoneCall,26.5375,10.35875,17.05875,22.2825,19.2025,22.98125
Mites,PreparingMeal,0.0,0.0,0.0,0.0,0.0,0.0
Mites,Relaxing,72.16375,12.13625,40.488749999999996,40.055,39.285000000000004,41.28625
